Date,Department,Category,Revenue,Expenses,Profit,Quarter
2024-07-01,Finance,Operations,125000.50,45000.25,80000.25,Q3
2024-07-15,Marketing,Advertising,85000.00,65000.00,20000.00,Q3
2024-07-31,Sales,Direct Sales,350000.00,125000.00,225000.00,Q3
2024-08-01,Finance,Investments,95000.75,15000.50,80000.25,Q3
2024-08-15,HR,Payroll,0.00,185000.00,-185000.00,Q3
2024-08-31,Engineering,R&D,45000.00,95000.00,-50000.00,Q3
2024-09-01,Finance,Operations,135000.00,48000.00,87000.00,Q3
2024-09-15,Sales,Online Sales,425000.00,85000.00,340000.00,Q3
2024-09-30,Finance,Quarter Close,75000.00,25000.00,50000.00,Q3
Total,All,Q3 Summary,1335000.25,688000.75,647000.50,Q3